,a,b,c
530,2,22,0
531,3,22,0
532,4,22,0
533,5,22,0
534,6,22,0
535,7,22,0
536,8,22,0
537,9,22,0
538,10,22,0
539,11,22,0
540,12,22,0
541,13,22,0
542,14,22,0
543,15,22,0
544,16,22,0
545,17,22,0
546,18,22,0
547,19,22,0
548,20,22,0
549,21,22,0
550,22,22,409
551,23,22,0
552,0,23,0
553,1,23,0
554,2,23,0
555,3,23,0
556,4,23,0
557,5,23,0
558,6,23,0
559,7,23,0
560,8,23,0
561,9,23,0
562,10,23,0
563,11,23,0
564,12,23,0
565,13,23,0
566,14,23,0
567,15,23,0
568,16,23,0
569,17,23,0
570,18,23,0
571,19,23,0
572,20,23,0
573,21,23,0
574,22,23,0
575,23,23,409
